cleaner, sausage, tropical fruit, whole milk, citrus fruit, onions, other vegetables, berries, hamburger meat, hamburger meat, other vegetables, hamburger meat, bottled water, butter, yogurt, yogurt, waffles, soda, sliced cheese, curd, specialty chocolate, shopping bags, bottled water, other vegetables, flower (seeds), coffee, whipped/sour cream, yogurt, whipped/sour cream, frozen potato products, candles, yogurt, bottled beer, Instant food products, frozen vegetables, shopping bags, frozen vegetables, whole milk, brown bread, bottled water, soda, frozen vegetables, Instant food products, domestic eggs, waffles, dishes, chocolate, bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water, tropical fruit, whole milk, brown bread, citrus fruit, tropical fruit, beef, coffee, whole milk, beef, beverages, frankfurter, newspapers, beverages, sausage, coffee, citrus fruit, sausage, whole milk, frankfurter, condensed milk, root vegetables, coffee, whole milk, berries, frankfurter, sausage, whipped/sour cream, frankfurter, frankfurter, beverages, bottled beer, frozen meals, hamburger meat, tropical fruit, soda, light bulbs, shopping bags, other vegetables, soft cheese, whole milk, butter, whipped/sour cream, whole milk, chocolate marshmallow, pip fruit, whole milk, other vegetables, long life bakery product, brown bread, pastry, bottled beer, frozen fruits, bottled beer, rolls/buns, soda, frozen vegetables, tropical fruit, napkins, margarine, shopping bags, pickled vegetables, margarine, sugar, fruit/vegetable juice, brown bread, soda, detergent, light bulbs, dish cleaner, domestic eggs, chewing gum, curd, soda, chewing gum, organic products,,,,,,,,,,,,,,,,,,,,
frankfurter, frankfurter, pastry, salty snack, bottled beer, male cosmetics, margarine, cat food, rolls/buns, rolls/buns, salty snack, dessert, whole milk, bottled beer, rolls/buns, tropical fruit, whole milk, cat food, root vegetables, rolls/buns, beef, whipped/sour cream, canned fish, root vegetables, sausage, whole milk, prosecco, white bread, salty snack, berries, oil, domestic eggs, soda, bottled beer, whole milk, frozen meals, frozen fish, soda, fruit/vegetable juice, yogurt, whole milk, domestic eggs, yogurt, soda, flour, house keeping products, yogurt, coffee, domestic eggs, rolls/buns, seasonal products, brown bread, brown bread, margarine, rolls/buns, bottled beer, canned fish, white bread, bottled beer, long life bakery product, pastry, white bread, hair spray, male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit, other vegetables, whole milk, meat, hamburger meat, whole milk, other vegetables, whole milk, finished products, whole milk, soda, whole milk, frankfurter, root vegetables, whole milk, soda, citrus fruit, pasta, whole milk, other vegetables, frankfurter, fruit/vegetable juice, UHT-milk, beef, tropical fruit, specialty chocolate, curd, citrus fruit, chewing gum, frankfurter, soda, frankfurter, sausage, sausage, beef, hamburger meat, newspapers, yogurt, sausage, whole milk, meat, whole milk, whole milk, specialty chocolate, bottled water, chocolate, whole milk, whole milk, pip fruit, whole milk, beverages, pip fruit, pet care, butter milk, rolls/buns, dessert, yogurt, hard cheese, citrus fruit, rolls/buns, rolls/buns, berries, cocoa drinks, brown bread, whole milk, other vegetables, pot plants, curd, coffee, semi-finished bread, yogurt, vinegar, whole milk, bottled water, rolls/buns, frozen vegetables, coffee, canned vegetables, whipped/sour cream, dishes, frozen vegetables, newspapers, whipped/sour cream,,,,,,,,,,,,,
sausage, root vegetables, whipped/sour cream, whole milk, beef, specialty bar, rolls/buns, other vegetables, finished products, soda, other vegetables, tropical fruit, seasonal products, tropical fruit, hamburger meat, dessert, sliced cheese, butter, red/blush wine, napkins, spices, soda, packaged fruit/vegetables, cooking chocolate, other vegetables, whole milk, semi-finished bread, white bread, other vegetables, pastry, rolls/buns, fruit/vegetable juice, cream cheese , flour, dish cleaner, cream cheese , napkins, shopping bags, red/blush wine, bottled water, semi-finished bread, cream cheese , cling film/bags, rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk, other vegetables, meat, pastry, pip fruit, sausage, liquor, shopping bags, pip fruit, other vegetables, photo/film, tropical fruit, root vegetables, mayonnaise, pork, chicken, meat, whole milk, rolls/buns, bottled water, frankfurter, whole milk, pastry, beef, hamburger meat, tropical fruit, pork, chewing gum, frankfurter, cookware, soda, tropical fruit, whole milk, soda, bottled beer, whole milk, sweet spreads, cling film/bags, rolls/buns, tropical fruit, other vegetables, whole milk, other vegetables, packaged fruit/vegetables, pastry, fruit/vegetable juice, sliced cheese, root vegetables, butter, tropical fruit, root vegetables, bottled beer, chocolate, brown bread, soda, beverages, soft cheese, yogurt, curd, oil, mayonnaise, newspapers, soda, cat food, detergent, white wine, cereals, waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit, pork, napkins, oil, bottled beer, bottled water, tropical fruit, whole milk, whole milk, candy, berries, newspapers, other vegetables, canned vegetables, UHT-milk, newspapers, frozen meals, whipped/sour cream, softener, sugar, domestic eggs, brown bread, whipped/sour cream, butter milk, seasonal products, processed cheese, domestic eggs, shopping bags, soda, canned vegetables, bottled water, roll products ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables, hamburger meat, tropical fruit, domestic eggs, chocolate, yogurt, whole milk, frankfurter, pork, margarine, soda, tropical fruit, tropical fruit, rolls/buns, root vegetables, sliced cheese, rolls/buns, pip fruit, ham, herbs, other vegetables, rolls/buns, root vegetables, whole milk, frozen vegetables, other vegetables, specialty bar, grapes, chewing gum, pip fruit, other vegetables, brown bread, instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables, ham, specialty cheese, sliced cheese, canned beer, liquor, nut snack, cream cheese , soda, root vegetables, dessert, butter, pip fruit, tropical fruit, yogurt, onions, newspapers, frozen fish, hygiene articles, whole milk, misc. beverages, bottled water, ice cream, soda, mayonnaise, root vegetables, dish cleaner, processed cheese, rice, rolls/buns, fruit/vegetable juice, specialty bar, jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage, other vegetables, meat, beef, bottled beer, whole milk, frozen fish, pork, bottled water, pork, whole milk, butter, pork, other vegetables, frankfurter, other vegetables, whole milk, dessert, misc. beverages, butter, whole milk, whole milk, citrus fruit, whole milk, frankfurter, misc. beverages, yogurt, other vegetables, bottled water, other vegetables, soda, specialty cheese, rolls/buns, whole milk, coffee, bottled beer, whole milk, spread cheese, zwieback, curd, pip fruit, soda, bottled beer, soft cheese, grapes, specialty bar, hard cheese, other vegetables, domestic eggs, brown bread, bottled water, chewing gum, chocolate, sugar, soda, bottled beer, yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit, frozen meals, root vegetables, whole milk, other vegetables, yogurt, pet care, curd, onions, citrus fruit, whole milk, whole milk, specialty cheese, semi-finished bread, chicken, pork, soda, syrup, soda, margarine, canned beer, newspapers, margarine, frozen meals, newspapers, cream cheese , sugar, chocolate, dessert, root vegetables, brown bread, newspapers, domestic eggs, cereals, seasonal products, whole milk, semi-finished bread, nut snack, sliced cheese, hard cheese, dog food, chocolate marshmallow, mustard, yogurt, rolls/buns, female sanitary products, shopping bags, sweet spreads, dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef, sausage, citrus fruit, beef, ham, bottled beer, other vegetables, rolls/buns, sausage, citrus fruit, frankfurter, canned beer, frankfurter, chicken, rolls/buns, root vegetables, yogurt, tropical fruit, ham, sausage, berries, yogurt, beverages, coffee, ham, soda, whole milk, specialty chocolate, whole milk, condensed milk, frozen vegetables, herbs, tropical fruit, misc. beverages, brown bread, whole milk, yogurt, rolls/buns, whole milk, dish cleaner, whole milk, pastry, red/blush wine, curd, sliced cheese, other vegetables, chocolate, citrus fruit, whole milk, canned beer, root vegetables, pastry, other vegetables, napkins, onions, rolls/buns, rolls/buns, whole milk, fruit/vegetable juice, white bread, butter, pickled vegetables, hard cheese, semi-finished bread, misc. beverages, frozen vegetables, bottled water, kitchen towels, brown bread, rolls/buns, margarine,,,,,,,,,,,,,,,,,,,,,,,,,
white wine, root vegetables, sausage, herbs, misc. beverages, candy, bottled water, sugar, pasta, packaged fruit/vegetables, ham, soda, tropical fruit, root vegetables, turkey, rolls/buns, pip fruit, pip fruit, whole milk, hygiene articles, brown bread, specialty chocolate, coffee, UHT-milk, soda, grapes, shopping bags, tropical fruit, cream cheese , bottled water, cream cheese , popcorn, whole milk, pastry, waffles, butter, frozen dessert, frozen vegetables, butter, whipped/sour cream, canned fish, skin care, dessert, domestic eggs, salty snack, salty snack, soda, spread cheese, UHT-milk, canned vegetables, frozen vegetables, bottled beer, cream cheese , butter, whipped/sour cream, yogurt, rolls/buns, shopping bags, soups, newspapers, beverages, specialty chocolate, cling film/bags, dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil, soda, rolls/buns, ice cream, misc. beverages, pip fruit, turkey, hamburger meat, specialty chocolate, tropical fruit, other vegetables, whipped/sour cream, cat food, shopping bags, yogurt, liquor (appetizer), domestic eggs, whole milk, soda, specialty chocolate, soft cheese, rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables, canned beer, rolls/buns, pot plants, rolls/buns, pip fruit, ham, coffee, dessert, semi-finished bread, candy, rolls/buns, rolls/buns, bottled water, pastry, root vegetables, pastry, rolls/buns, dishes, dish cleaner, chocolate, curd, sugar, baking powder, curd, yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit, pork, zwieback, frankfurter, pip fruit, curd, berries, sausage, frankfurter, meat, bottled beer, chicken, misc. beverages, sausage, margarine, whole milk, chicken, soda, rolls/buns, berries, tropical fruit, margarine, canned beer, whole milk, newspapers, sliced cheese, yogurt, yogurt, yogurt, soda, rice, soda, brown bread, margarine, pip fruit, frozen vegetables, candy, whole milk, salty snack, frozen meals, soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turkey, specialty chocolate, whole milk, sausage, jam, semi-finished bread, canned beer, dish cleaner, candy, citrus fruit, dessert, whole milk, whipped/sour cream, fruit/vegetable juice, rolls/buns, whole milk, root vegetables, yogurt, photo/film, hamburger meat, whipped/sour cream, whole milk, root vegetables, other vegetables, yogurt, grapes, coffee, fruit/vegetable juice, bottled water, bottled water, hygiene articles, butter, rubbing alcohol, misc. beverages, shopping bags, rolls/buns, rolls/buns, coffee, rolls/buns, cream cheese , pastry, white bread, ketchup, mayonnaise, frozen fish, long life bakery product, margarine, dog food, candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
processed cheese, pork, fish, butter, whole milk, tropical fruit, sausage, bottled beer, frankfurter, whole milk, misc. beverages, butter milk, sausage, frankfurter, soft cheese, sausage, processed cheese, coffee, yogurt, citrus fruit, sausage, pip fruit, whole milk, dessert, mayonnaise, other vegetables, pork, meat, rolls/buns, rolls/buns, rolls/buns, bottled beer, whipped/sour cream, white bread, roll products , herbs, curd, whole milk, other vegetables, spread cheese, margarine, pot plants, tropical fruit, white bread, berries, brown bread, bottled water, domestic eggs, whole milk, white bread, whole milk, margarine, onions, napkins, frozen meals, fruit/vegetable juice, newspapers, snack products, bottled water, coffee, mustard, coffee, rolls/buns, house keeping products, roll products , kitchen towels, margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt, berries, pork, sausage, soda, sugar, whole milk, citrus fruit, berries, whole milk, rolls/buns, soda, whole milk, whipped/sour cream, hamburger meat, canned beer, fruit/vegetable juice, other vegetables, bottled water, root vegetables, dog food, other vegetables, soda, onions, whole milk, root vegetables, canned beer, specialty bar, baking powder, pastry, pip fruit, processed cheese, yogurt, bottled beer, pastry, brown bread, curd, pastry, misc. beverages, butter, rolls/buns, misc. beverages, whipped/sour cream, salty snack, pot plants, spread cheese, butter milk, margarine, chewing gum, whole milk, frozen dessert, domestic eggs, rolls/buns, whipped/sour cream, cream cheese , domestic eggs, rolls/buns, coffee, newspapers, soda, long life bakery product, canned fish, cat food, specialty cheese, packaged fruit/vegetables, chewing gum, bottled water, shopping bags, pickled vegetables, pastry, cookware, rolls/buns, waffles,,,,,,,,,,,,,,,,,,,,,,,
other vegetables, root vegetables, rolls/buns, finished products, chicken, tropical fruit, pastry, sausage, berries, beef, ham, fish, chicken, specialty cheese, whole milk, beverages, frankfurter, tropical fruit, waffles, frankfurter, root vegetables, turkey, ice cream, root vegetables, sausage, pip fruit, domestic eggs, whole milk, frozen vegetables, tropical fruit, pip fruit, rolls/buns, other vegetables, bottled water, root vegetables, other vegetables, cake bar, brown bread, white bread, fruit/vegetable juice, frozen potato products, white bread, red/blush wine, tropical fruit, misc. beverages, frozen vegetables, soda, other vegetables, whole milk, pastry, whole milk, whole milk, newspapers, dog food, butter, domestic eggs, soda, butter milk, root vegetables, snack products, cream cheese , bottled water, vinegar, long life bakery product, newspapers, shopping bags, bottled water, fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage, whole milk, pip fruit, whole milk, tropical fruit, soda, tropical fruit, hamburger meat, frozen fish, rolls/buns, pip fruit, domestic eggs, whole milk, other vegetables, whole milk, frozen meals, soda, ice cream, fruit/vegetable juice, pork, yogurt, root vegetables, root vegetables, other vegetables, domestic eggs, fruit/vegetable juice, onions, whipped/sour cream, frozen vegetables, coffee, snack products, bottled beer, red/blush wine, whipped/sour cream, soda, waffles, hard cheese, frozen vegetables, whole milk, hard cheese, canned vegetables, grapes, whipped/sour cream, packaged fruit/vegetables, herbs, newspapers, newspapers, root vegetables, whole milk, chocolate, UHT-milk, roll products , bottled water, specialty bar, canned fruit, processed cheese, red/blush wine, chewing gum, soft cheese, butter milk, processed cheese, soda, brown bread, white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sugar, sausage, whole milk, yogurt, citrus fruit, chicken, whole milk, fish, canned beer, beef, ice cream, whole milk, canned vegetables, rolls/buns, canned beer, tropical fruit, soda, organic sausage, flour, other vegetables, ice cream, canned beer, frozen vegetables, liquor (appetizer), specialty bar, bottled beer, tropical fruit, root vegetables, other vegetables, other vegetables, bottled water, pip fruit, sugar, whole milk, bottled beer, shopping bags, waffles, hygiene articles, detergent, cream cheese , salty snack, newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk, pork, other vegetables, meat, whole milk, specialty vegetables, root vegetables, other vegetables, onions, artif. sweetener, other vegetables, other vegetables, butter, rolls/buns, candy, butter, margarine, yogurt, brown bread, curd, cat food, curd, margarine, specialty chocolate, soda, fruit/vegetable juice, sliced cheese, candles, specialty fat, soda, frozen dessert, softener, brandy, herbs, soda, chewing gum, red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd, bottled water, root vegetables, rolls/buns, pork, hamburger meat, bottled beer, canned beer, canned beer, whole milk, semi-finished bread, soda, sausage, root vegetables, domestic eggs, bottled beer, pork, sausage, rolls/buns, light bulbs, beef, frankfurter, fish, frankfurter, citrus fruit, rolls/buns, citrus fruit, pork, pastry, citrus fruit, cake bar, whole milk, baking powder, dessert, specialty chocolate, whole milk, whole milk, citrus fruit, onions, liquor (appetizer), margarine, root vegetables, yogurt, grapes, roll products , frozen potato products, specialty bar, rolls/buns, berries, UHT-milk, yogurt, soda, specialty chocolate, other vegetables, white bread, rolls/buns, coffee, napkins, baking powder, fruit/vegetable juice, processed cheese, ketchup, butter, semi-finished bread, sugar, sauces, soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries, sausage, ham, packaged fruit/vegetables, tropical fruit, pot plants, root vegetables, canned beer, fruit/vegetable juice, citrus fruit, newspapers, oil, soda, white bread, rolls/buns, cream cheese , sweet spreads, pastry, soda, pastry, whole milk, root vegetables, yogurt, shopping bags, brown bread, specialty cheese, instant coffee, oil, napkins, newspapers, hygiene articles, seasonal products, candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter, other vegetables, curd, ham, pip fruit, meat, yogurt, onions, pet care, onions, whole milk, frankfurter, canned beer, whole milk, canned beer, UHT-milk, butter, salty snack, flour, citrus fruit, specialty bar, rolls/buns, photo/film, bottled beer, bottled beer, rolls/buns, tropical fruit, pip fruit, coffee, frozen vegetables, pip fruit, soda, butter, hard cheese, tropical fruit, whole milk, yogurt, whole milk, napkins, coffee, dog food, soda, pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen vegetables, coffee, yogurt, frankfurter, soda, fruit/vegetable juice, berries, citrus fruit, citrus fruit, sausage, margarine, white wine, newspapers, onions, roll products , long life bakery product, chocolate, whole milk, specialty chocolate, bottled beer, yogurt, red/blush wine, yogurt, yogurt, specialty cheese, hard cheese, newspapers, kitchen towels, sliced cheese, Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter, other vegetables, frankfurter, bottled beer, soda, ham, whole milk, other vegetables, citrus fruit, specialty chocolate, napkins, chicken, pip fruit, turkey, whole milk, tropical fruit, grapes, root vegetables, citrus fruit, whole milk, dessert, canned beer, ham, tropical fruit, pork, misc. beverages, tropical fruit, frozen potato products, yogurt, frozen vegetables, whole milk, tropical fruit, cream cheese , brown bread, whole milk, specialty cheese, specialty chocolate, waffles, whole milk, root vegetables, coffee, waffles, butter, other vegetables, brown bread, canned fish, pip fruit, onions, bottled beer, onions, chocolate, photo/film, specialty chocolate, domestic eggs, frozen fish, root vegetables, frozen dessert, shopping bags, sliced cheese, newspapers, dish cleaner, chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef, frankfurter, other vegetables, tropical fruit, brown bread, domestic eggs, pip fruit, frozen meals, pot plants, tropical fruit, rolls/buns, citrus fruit, rolls/buns, beef, root vegetables, butter milk, white bread, rice, yogurt, rolls/buns, soda, canned vegetables, instant coffee, rolls/buns, salty snack, pastry, oil, whole milk, hygiene articles, soda, specialty fat, specialty chocolate, butter, soda, newspapers, misc. beverages, specialty chocolate, waffles, yogurt, canned beer, processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter, whole milk, soda, tropical fruit, brown bread, hamburger meat, beef, whole milk, meat, canned beer, pork, pip fruit, canned beer, rolls/buns, rolls/buns, cat food, other vegetables, other vegetables, beverages, tropical fruit, coffee, citrus fruit, sausage, sausage, yogurt, ham, yogurt, curd cheese, soda, pip fruit, root vegetables, butter milk, frozen meals, roll products , margarine, specialty bar, yogurt, whole milk, turkey, canned beer, mustard, soda, butter, yogurt, root vegetables, long life bakery product, margarine, shopping bags, other vegetables, rolls/buns, sparkling wine, yogurt, salty snack, napkins, other vegetables, other vegetables, waffles, pastry, frozen vegetables, soda, pasta, curd, white wine, vinegar, rolls/buns, soda, cake bar, butter, flower (seeds), napkins, yogurt, yogurt,,,,,,,,,,,,,,,,,,,,,,,,
yogurt, meat spreads, canned beer, hamburger meat, rolls/buns, whole milk, citrus fruit, rolls/buns, photo/film, root vegetables, turkey, liquor (appetizer), other vegetables, whole milk, other vegetables, root vegetables, specialty bar, coffee, citrus fruit, sliced cheese, root vegetables, whole milk, bathroom cleaner, mayonnaise, other vegetables, coffee, red/blush wine, butter, pastry, soda, white bread, pastry, semi-finished bread, yogurt, instant coffee, fruit/vegetable juice, bottled water, napkins, sliced cheese, shopping bags, candy, whole milk, soda, processed cheese, chewing gum, shopping bags, specialty chocolate, instant coffee, salty snack, rolls/buns, hygiene articles, ice cream, sparkling wine, chocolate, newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar, rolls/buns, sausage, beverages, chicken, berries, frankfurter, chicken, sausage, bottled beer, beef, citrus fruit, whole milk, whole milk, candy, other vegetables, soda, root vegetables, citrus fruit, butter, other vegetables, brown bread, root vegetables, curd, bottled beer, UHT-milk, margarine, fruit/vegetable juice, whole milk, rolls/buns, shopping bags, whole milk, female sanitary products, whole milk, shopping bags, ice cream, ice cream, whole milk, whole milk, chewing gum, white wine, shopping bags, napkins, misc. beverages, cat food, specialty bar, flour, coffee, soda, shopping bags, yogurt, soda, yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
